onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 4.073	Filler	0	0	 0.000
 4.073	 0.669	ISI	0	0	 0.000
 4.742	 0.354	croix	0	0	 0.000
 5.096	 0.669	noir	0	0	 0.000
 5.765	 0.689	pseudocomplex	1	0	 2147483.647
 6.454	 0.803	ISI	0	0	 0.000
 7.257	 0.354	croix	0	0	 0.000
 7.611	 0.670	noir	0	0	 0.000
 8.281	 0.689	H	0	0	 0.000
 8.970	 0.890	ISI	0	0	 0.000
 9.860	 0.334	croix	0	0	 0.000
 10.194	 0.669	noir	0	0	 0.000
 10.863	 0.689	complex	1	0	 2147483.647
 11.552	 0.535	ISI	0	0	 0.000
 12.087	 0.354	croix	0	0	 0.000
 12.441	 0.669	noir	0	0	 0.000
 13.110	 0.689	complex	1	0	 2147483.647
 13.799	 0.803	ISI	0	0	 0.000
 14.602	 0.354	croix	0	0	 0.000
 14.956	 0.669	noir	0	0	 0.000
 15.625	 0.689	H	0	0	 0.000
 16.314	 0.602	ISI	0	0	 0.000
 16.916	 0.354	croix	0	0	 0.000
 17.270	 0.669	noir	0	0	 0.000
 17.939	 0.689	complex	1	0	 2147483.647
 18.628	 0.602	ISI	0	0	 0.000
 19.230	 0.355	croix	0	0	 0.000
 19.585	 0.668	noir	0	0	 0.000
 20.253	 0.689	pseudocomplex	1	0	 2147483.647
 20.942	 0.803	ISI	0	0	 0.000
 21.745	 0.354	croix	0	0	 0.000
 22.099	 0.669	noir	0	0	 0.000
 22.768	 0.689	pseudocomplex	1	0	 2147483.647
 23.457	 0.535	ISI	0	0	 0.000
 23.992	 0.335	croix	0	0	 0.000
 24.327	 0.688	noir	0	0	 0.000
 25.015	 0.690	H	0	0	 0.000
 25.705	 0.602	ISI	0	0	 0.000
 26.307	 0.335	croix	0	0	 0.000
 26.642	 0.689	noir	0	0	 0.000
 27.331	 0.668	pseudocomplex	1	0	 2147483.647
 27.999	 0.756	ISI	0	0	 0.000
 28.755	 0.335	croix	0	0	 0.000
 29.090	 0.689	noir	0	0	 0.000
 29.779	 0.668	pseudocomplex	1	0	 2147483.647
 30.447	 0.556	ISI	0	0	 0.000
 31.003	 0.334	croix	0	0	 0.000
 31.337	 0.689	noir	0	0	 0.000
 32.026	 0.669	H	0	0	 0.000
 32.695	 0.756	ISI	0	0	 0.000
 33.451	 0.334	croix	0	0	 0.000
 33.785	 0.689	noir	0	0	 0.000
 34.474	 0.669	pseudocomplex	1	0	 2147483.647
 35.143	 0.622	ISI	0	0	 0.000
 35.765	 0.334	croix	0	0	 0.000
 36.099	 0.689	noir	0	0	 0.000
 36.788	 0.669	pseudocomplex	1	0	 2147483.647
 37.457	 0.689	ISI	0	0	 0.000
 38.146	 0.334	croix	0	0	 0.000
 38.480	 0.689	noir	0	0	 0.000
 39.169	 0.669	complex	1	0	 2147483.647
 39.838	 0.622	ISI	0	0	 0.000
 40.460	 0.334	croix	0	0	 0.000
 40.794	 0.669	noir	0	0	 0.000
 41.463	 0.689	H	0	0	 0.000
 42.152	 0.603	ISI	0	0	 0.000
 42.755	 0.355	croix	0	0	 0.000
 43.110	 0.668	noir	0	0	 0.000
 43.778	 0.689	complex	1	0	 2147483.647
 44.467	 0.669	ISI	0	0	 0.000
 45.136	 0.355	croix	0	0	 0.000
 45.491	 0.668	noir	0	0	 0.000
 46.159	 0.689	pseudocomplex	1	0	 2147483.647
 46.848	 0.535	ISI	0	0	 0.000
 47.383	 0.355	croix	0	0	 0.000
 47.738	 0.669	noir	0	0	 0.000
 48.407	 0.689	H	0	0	 0.000
 49.096	 0.535	ISI	0	0	 0.000
 49.631	 0.334	croix	0	0	 0.000
 49.965	 0.689	noir	0	0	 0.000
 50.654	 0.669	pseudocomplex	1	0	 2147483.647
 51.323	 0.889	ISI	0	0	 0.000
 52.212	 0.335	croix	0	0	 0.000
 52.547	 0.689	noir	0	0	 0.000
 53.236	 0.689	pseudocomplex	1	0	 2147483.647
 53.925	 0.669	ISI	0	0	 0.000
 54.594	 0.334	croix	0	0	 0.000
 54.928	 0.689	noir	0	0	 0.000
 55.617	 0.689	complex	1	0	 2147483.647
 56.306	 0.602	ISI	0	0	 0.000
 56.908	 0.334	croix	0	0	 0.000
 57.242	 0.689	noir	0	0	 0.000
 57.931	 0.669	complex	1	0	 2147483.647
 58.600	 0.555	ISI	0	0	 0.000
 59.155	 0.334	croix	0	0	 0.000
 59.489	 0.689	noir	0	0	 0.000
 60.178	 0.670	H	0	0	 0.000
 60.848	 0.555	ISI	0	0	 0.000
 61.403	 0.335	croix	0	0	 0.000
 61.738	 0.689	noir	0	0	 0.000
 62.427	 0.668	complex	1	0	 2147483.647
 63.095	 0.689	ISI	0	0	 0.000
 63.784	 0.335	croix	0	0	 0.000
 64.119	 0.669	noir	0	0	 0.000
 64.788	 0.689	pseudocomplex	1	0	 2147483.647
 65.477	 0.622	ISI	0	0	 0.000
 66.099	 0.334	croix	0	0	 0.000
 66.433	 0.669	noir	0	0	 0.000
 67.102	 0.689	pseudocomplex	1	0	 2147483.647
 67.791	 0.602	ISI	0	0	 0.000
 68.393	 0.354	croix	0	0	 0.000
 68.747	 0.669	noir	0	0	 0.000
 69.416	 0.689	H	0	0	 0.000
 70.105	 0.669	ISI	0	0	 0.000
 70.774	 0.354	croix	0	0	 0.000
 71.128	 0.669	noir	0	0	 0.000
 71.797	 0.689	complex	1	0	 2147483.647
 72.486	 0.669	ISI	0	0	 0.000
 73.155	 0.354	croix	0	0	 0.000
 73.509	 0.669	noir	0	0	 0.000
 74.178	 0.689	complex	1	0	 2147483.647
 74.867	 1.558	ISI	0	0	 0.000
 76.425	 0.335	croix	0	0	 0.000
 76.760	 0.689	noir	0	0	 0.000
 77.449	 0.670	pseudocomplex	1	0	 2147483.647
 78.119	 0.689	ISI	0	0	 0.000
 78.808	 0.334	croix	0	0	 0.000
 79.142	 0.689	noir	0	0	 0.000
 79.831	 0.669	H	0	0	 0.000
 80.500	 0.555	ISI	0	0	 0.000
 81.055	 0.334	croix	0	0	 0.000
 81.389	 0.689	noir	0	0	 0.000
 82.078	 0.669	pseudocomplex	1	0	 2147483.647
 82.747	 0.555	ISI	0	0	 0.000
 83.302	 0.335	croix	0	0	 0.000
 83.637	 0.668	noir	0	0	 0.000
 84.305	 0.689	pseudocomplex	1	0	 2147483.647
 84.994	 0.689	ISI	0	0	 0.000
 85.683	 0.335	croix	0	0	 0.000
 86.018	 0.668	noir	0	0	 0.000
 86.686	 0.689	H	0	0	 0.000
 87.375	 0.602	ISI	0	0	 0.000
 87.977	 0.355	croix	0	0	 0.000
 88.332	 0.669	noir	0	0	 0.000
 89.001	 0.689	complex	1	0	 2147483.647
 89.690	 0.601	ISI	0	0	 0.000
 90.291	 0.355	croix	0	0	 0.000
 90.646	 0.669	noir	0	0	 0.000
 91.315	 0.689	pseudocomplex	1	0	 2147483.647
 92.004	 0.535	ISI	0	0	 0.000
 92.539	 0.334	croix	0	0	 0.000
 92.873	 0.689	noir	0	0	 0.000
 93.562	 0.689	pseudocomplex	1	0	 2147483.647
 94.251	 0.669	ISI	0	0	 0.000
 94.920	 0.335	croix	0	0	 0.000
 95.255	 0.689	noir	0	0	 0.000
 95.944	 0.669	complex	1	0	 2147483.647
 96.613	 0.756	ISI	0	0	 0.000
 97.369	 0.334	croix	0	0	 0.000
 97.703	 0.689	noir	0	0	 0.000
 98.392	 0.669	H	0	0	 0.000
 99.061	 0.756	ISI	0	0	 0.000
 99.817	 0.334	croix	0	0	 0.000
 100.151	 0.689	noir	0	0	 0.000
 100.840	 0.669	complex	1	0	 2147483.647
 101.509	 0.622	ISI	0	0	 0.000
 102.131	 0.334	croix	0	0	 0.000
 102.465	 0.689	noir	0	0	 0.000
 103.154	 0.669	complex	1	0	 2147483.647
 103.823	 0.622	ISI	0	0	 0.000
 104.445	 0.335	croix	0	0	 0.000
 104.780	 0.689	noir	0	0	 0.000
 105.469	 0.668	complex	1	0	 2147483.647
 106.137	 0.823	ISI	0	0	 0.000
 106.960	 0.334	croix	0	0	 0.000
 107.294	 0.689	noir	0	0	 0.000
 107.983	 0.669	H	0	0	 0.000
 108.652	 0.622	ISI	0	0	 0.000
 109.274	 0.335	croix	0	0	 0.000
 109.609	 0.689	noir	0	0	 0.000
 110.298	 0.668	complex	1	0	 2147483.647
 110.966	 0.823	ISI	0	0	 0.000
 111.789	 0.334	croix	0	0	 0.000
 112.123	 0.690	noir	0	0	 0.000
 112.813	 0.669	complex	1	0	 2147483.647
 113.482	 0.555	ISI	0	0	 0.000
 114.037	 0.335	croix	0	0	 0.000
 114.372	 0.689	noir	0	0	 0.000
 115.061	 0.669	pseudocomplex	1	0	 2147483.647
 115.730	 0.622	ISI	0	0	 0.000
 116.352	 0.334	croix	0	0	 0.000
 116.686	 0.669	noir	0	0	 0.000
 117.355	 0.689	H	0	0	 0.000
 118.044	 0.756	ISI	0	0	 0.000
 118.800	 0.334	croix	0	0	 0.000
 119.134	 0.669	noir	0	0	 0.000
 119.803	 0.689	pseudocomplex	1	0	 2147483.647
 120.492	 0.755	ISI	0	0	 0.000
 121.247	 0.335	croix	0	0	 0.000
 121.582	 0.669	noir	0	0	 0.000
 122.251	 0.689	pseudocomplex	1	0	 2147483.647
 122.940	 0.602	ISI	0	0	 0.000
 123.542	 0.354	croix	0	0	 0.000
 123.896	 0.669	noir	0	0	 0.000
 124.565	 0.689	H	0	0	 0.000
 125.254	 0.602	ISI	0	0	 0.000
 125.856	 0.354	croix	0	0	 0.000
 126.210	 0.669	noir	0	0	 0.000
 126.879	 0.689	pseudocomplex	1	0	 2147483.647
 127.568	 0.602	ISI	0	0	 0.000
 128.170	 0.354	croix	0	0	 0.000
 128.524	 0.669	noir	0	0	 0.000
 129.193	 0.689	pseudocomplex	1	0	 2147483.647
 129.882	 0.603	ISI	0	0	 0.000
 130.485	 0.334	croix	0	0	 0.000
 130.819	 0.689	noir	0	0	 0.000
 131.508	 0.689	pseudocomplex	1	0	 2147483.647
 132.197	 0.870	ISI	0	0	 0.000
 133.067	 0.354	croix	0	0	 0.000
 133.421	 0.669	noir	0	0	 0.000
 134.090	 0.689	H	0	0	 0.000
 134.779	 0.936	ISI	0	0	 0.000
 135.715	 0.355	croix	0	0	 0.000
 136.070	 0.669	noir	0	0	 0.000
 136.739	 0.689	pseudocomplex	1	0	 2147483.647
 137.428	 0.602	ISI	0	0	 0.000
 138.030	 0.354	croix	0	0	 0.000
 138.384	 0.669	noir	0	0	 0.000
 139.053	 0.689	complex	1	0	 2147483.647
 139.742	 0.535	ISI	0	0	 0.000
 140.277	 0.334	croix	0	0	 0.000
 140.611	 0.689	noir	0	0	 0.000
 141.300	 0.689	pseudocomplex	1	0	 2147483.647
 141.989	 0.602	ISI	0	0	 0.000
 142.591	 0.335	croix	0	0	 0.000
 142.926	 0.688	noir	0	0	 0.000
 143.614	 0.669	complex	1	0	 2147483.647
 144.283	 0.756	ISI	0	0	 0.000
 145.039	 0.334	croix	0	0	 0.000
 145.373	 0.689	noir	0	0	 0.000
 146.062	 0.669	pseudocomplex	1	0	 2147483.647
 146.731	 0.555	ISI	0	0	 0.000
 147.286	 0.336	croix	0	0	 0.000
 147.622	 0.689	noir	0	0	 0.000
 148.311	 0.668	complex	1	0	 2147483.647
 148.979	 0.756	ISI	0	0	 0.000
 149.735	 0.335	croix	0	0	 0.000
 150.070	 0.689	noir	0	0	 0.000
 150.759	 0.668	H	0	0	 0.000
 151.427	 0.556	ISI	0	0	 0.000
 151.983	 0.334	croix	0	0	 0.000
 152.317	 0.689	noir	0	0	 0.000
 153.006	 0.669	complex	1	0	 2147483.647
 153.675	 0.555	ISI	0	0	 0.000
 154.230	 0.334	croix	0	0	 0.000
 154.564	 0.669	noir	0	0	 0.000
 155.233	 0.689	complex	1	0	 2147483.647
 155.922	 0.535	ISI	0	0	 0.000
 156.457	 0.355	croix	0	0	 0.000
 156.812	 0.668	noir	0	0	 0.000
 157.480	 0.689	complex	1	0	 2147483.647
 158.169	 0.803	ISI	0	0	 0.000
 158.972	 0.355	croix	0	0	 0.000
 159.327	 0.668	noir	0	0	 0.000
 159.995	 0.689	complex	1	0	 2147483.647
 160.684	 0.957	ISI	0	0	 0.000
 161.641	 0.334	croix	0	0	 0.000
 161.975	 0.669	noir	0	0	 0.000
 162.644	 0.689	pseudocomplex	1	0	 2147483.647
 163.333	 0.756	ISI	0	0	 0.000
 164.089	 0.334	croix	0	0	 0.000
 164.423	 0.669	noir	0	0	 0.000
 165.092	 0.690	complex	1	0	 2147483.647
 165.782	 0.689	ISI	0	0	 0.000
 166.471	 0.334	croix	0	0	 0.000
 166.805	 0.669	noir	0	0	 0.000
 167.474	 0.689	H	0	0	 0.000
 168.163	 0.535	ISI	0	0	 0.000
 168.698	 0.354	croix	0	0	 0.000
 169.052	 0.669	noir	0	0	 0.000
 169.721	 0.689	pseudocomplex	1	0	 2147483.647
 170.410	 1.157	ISI	0	0	 0.000
 171.567	 0.335	croix	0	0	 0.000
 171.902	 0.689	noir	0	0	 0.000
 172.591	 0.668	pseudocomplex	1	0	 2147483.647
 173.259	 0.689	ISI	0	0	 0.000
 173.948	 0.335	croix	0	0	 0.000
 174.283	 0.669	noir	0	0	 0.000
 174.952	 0.688	complex	1	0	 2147483.647
 175.640	 0.756	ISI	0	0	 0.000
 176.396	 0.335	croix	0	0	 0.000
 176.731	 0.668	noir	0	0	 0.000
 177.399	 0.689	complex	1	0	 2147483.647
 178.088	 0.623	ISI	0	0	 0.000
 178.711	 0.334	croix	0	0	 0.000
 179.045	 0.669	noir	0	0	 0.000
 179.714	 0.689	H	0	0	 0.000
 180.403	 0.822	ISI	0	0	 0.000
 181.225	 0.335	croix	0	0	 0.000
 181.560	 0.668	noir	0	0	 0.000
 182.228	 0.690	complex	1	0	 2147483.647
 182.918	 0.890	ISI	0	0	 0.000
 183.808	 0.334	croix	0	0	 0.000
 184.142	 0.689	noir	0	0	 0.000
 184.831	 0.669	pseudocomplex	1	0	 2147483.647
 185.500	 0.689	ISI	0	0	 0.000
 186.189	 0.335	croix	0	0	 0.000
 186.524	 0.668	noir	0	0	 0.000
 187.192	 0.689	complex	1	0	 2147483.647
 187.881	 0.823	ISI	0	0	 0.000
 188.704	 0.334	croix	0	0	 0.000
 189.038	 0.689	noir	0	0	 0.000
 189.727	 0.669	H	0	0	 0.000
 190.396	 0.689	ISI	0	0	 0.000
 191.085	 0.334	croix	0	0	 0.000
 191.419	 0.669	noir	0	0	 0.000
 192.088	 0.689	pseudocomplex	1	0	 2147483.647
 192.777	 0.689	ISI	0	0	 0.000
 193.466	 0.334	croix	0	0	 0.000
 193.800	 0.669	noir	0	0	 0.000
 194.469	 0.689	pseudocomplex	1	0	 2147483.647
 195.158	 0.602	ISI	0	0	 0.000
 195.760	 0.355	croix	0	0	 0.000
 196.115	 0.668	noir	0	0	 0.000
 196.783	 0.689	complex	1	0	 2147483.647
 197.472	 0.535	ISI	0	0	 0.000
 198.007	 0.355	croix	0	0	 0.000
 198.362	 0.669	noir	0	0	 0.000
 199.031	 0.689	complex	1	0	 2147483.647
 199.720	 0.603	ISI	0	0	 0.000
 200.323	 0.334	croix	0	0	 0.000
 200.657	 0.689	noir	0	0	 0.000
 201.346	 0.689	H	0	0	 0.000
 202.035	 0.535	ISI	0	0	 0.000
 202.570	 0.334	croix	0	0	 0.000
 202.904	 0.689	noir	0	0	 0.000
 203.593	 0.669	complex	1	0	 2147483.647
 204.262	 0.756	ISI	0	0	 0.000
 205.018	 0.334	croix	0	0	 0.000
 205.352	 0.689	noir	0	0	 0.000
 206.041	 0.669	complex	1	0	 2147483.647
 206.710	 0.622	ISI	0	0	 0.000
 207.332	 0.334	croix	0	0	 0.000
 207.666	 0.689	noir	0	0	 0.000
 208.355	 0.669	complex	1	0	 2147483.647
 209.024	 0.756	ISI	0	0	 0.000
 209.780	 0.334	croix	0	0	 0.000
 210.114	 0.689	noir	0	0	 0.000
 210.803	 0.669	H	0	0	 0.000
 211.472	 0.555	ISI	0	0	 0.000
 212.027	 0.335	croix	0	0	 0.000
 212.362	 0.689	noir	0	0	 0.000
 213.051	 0.669	pseudocomplex	1	0	 2147483.647
 213.720	 0.688	ISI	0	0	 0.000
 214.408	 0.335	croix	0	0	 0.000
 214.743	 0.689	noir	0	0	 0.000
 215.432	 0.669	pseudocomplex	1	0	 2147483.647
 216.101	 0.822	ISI	0	0	 0.000
 216.923	 0.335	croix	0	0	 0.000
 217.258	 0.690	noir	0	0	 0.000
 217.948	 0.668	pseudocomplex	1	0	 2147483.647
 218.616	 0.823	ISI	0	0	 0.000
 219.439	 0.335	croix	0	0	 0.000
 219.774	 0.688	noir	0	0	 0.000
 220.462	 0.669	complex	1	0	 2147483.647
 221.131	 0.890	ISI	0	0	 0.000
 222.021	 0.334	croix	0	0	 0.000
 222.355	 0.689	noir	0	0	 0.000
 223.044	 0.669	H	0	0	 0.000
 223.713	 0.622	ISI	0	0	 0.000
 224.335	 0.334	croix	0	0	 0.000
 224.669	 0.689	noir	0	0	 0.000
 225.358	 0.669	pseudocomplex	1	0	 2147483.647
 226.027	 0.622	ISI	0	0	 0.000
 226.649	 0.335	croix	0	0	 0.000
 226.984	 0.689	noir	0	0	 0.000
 227.673	 0.668	pseudocomplex	1	0	 2147483.647
 228.341	 0.556	ISI	0	0	 0.000
 228.897	 0.334	croix	0	0	 0.000
 229.231	 0.669	noir	0	0	 0.000
 229.900	 0.689	pseudocomplex	1	0	 2147483.647
 230.589	 1.157	ISI	0	0	 0.000
 231.746	 0.334	croix	0	0	 0.000
 232.080	 0.689	noir	0	0	 0.000
 232.769	 0.669	H	0	0	 0.000
 233.438	 0.689	ISI	0	0	 0.000
 234.127	 0.334	croix	0	0	 0.000
 234.461	 0.690	noir	0	0	 0.000
 235.151	 0.669	pseudocomplex	1	0	 2147483.647
 235.820	 0.956	ISI	0	0	 0.000
 236.776	 0.335	croix	0	0	 0.000
 237.111	 0.689	noir	0	0	 0.000
 237.800	 0.669	pseudocomplex	1	0	 2147483.647
 238.469	 0.689	ISI	0	0	 0.000
 239.158	 0.334	croix	0	0	 0.000
 239.492	 0.689	noir	0	0	 0.000
 240.181	 0.669	pseudocomplex	1	0	 2147483.647
 240.850	 0.689	ISI	0	0	 0.000
 241.539	 0.334	croix	0	0	 0.000
 241.873	 0.689	noir	0	0	 0.000
 242.562	 0.669	H	0	0	 0.000
 243.231	 0.622	ISI	0	0	 0.000
 243.853	 0.334	croix	0	0	 0.000
 244.187	 0.689	noir	0	0	 0.000
 244.876	 0.669	pseudocomplex	1	0	 2147483.647
 245.545	 0.622	ISI	0	0	 0.000
 246.167	 0.334	croix	0	0	 0.000
 246.501	 0.669	noir	0	0	 0.000
 247.170	 0.689	complex	1	0	 2147483.647
 247.859	 0.622	ISI	0	0	 0.000
 248.481	 0.335	croix	0	0	 0.000
 248.816	 0.668	noir	0	0	 0.000
 249.484	 0.689	pseudocomplex	1	0	 2147483.647
 250.173	 0.602	ISI	0	0	 0.000
 250.775	 0.355	croix	0	0	 0.000
 251.130	 0.669	noir	0	0	 0.000
 251.799	 0.688	complex	1	0	 2147483.647
 252.487	 0.603	ISI	0	0	 0.000
 253.090	 0.355	croix	0	0	 0.000
 253.445	 0.669	noir	0	0	 0.000
 254.114	 0.689	H	0	0	 0.000
 254.803	 0.602	ISI	0	0	 0.000
 255.405	 0.334	croix	0	0	 0.000
 255.739	 0.689	noir	0	0	 0.000
 256.428	 0.689	complex	1	0	 2147483.647
 257.117	 0.535	ISI	0	0	 0.000
 257.652	 0.334	croix	0	0	 0.000
 257.986	 0.689	noir	0	0	 0.000
 258.675	 0.669	complex	1	0	 2147483.647
 259.344	 0.622	ISI	0	0	 0.000
 259.966	 0.335	croix	0	0	 0.000
 260.301	 0.688	noir	0	0	 0.000
 260.989	 0.669	H	0	0	 0.000
 261.658	 0.890	ISI	0	0	 0.000
 262.548	 0.334	croix	0	0	 0.000
 262.882	 0.689	noir	0	0	 0.000
 263.571	 0.669	pseudocomplex	1	0	 2147483.647
 264.240	 0.622	ISI	0	0	 0.000
 264.862	 0.334	croix	0	0	 0.000
 265.196	 0.689	noir	0	0	 0.000
 265.885	 0.669	H	0	0	 0.000
 266.554	 0.555	ISI	0	0	 0.000
 267.109	 0.335	croix	0	0	 0.000
 267.444	 0.689	noir	0	0	 0.000
 268.133	 0.668	pseudocomplex	1	0	 2147483.647
 268.801	 0.689	ISI	0	0	 0.000
 269.490	 0.335	croix	0	0	 0.000
 269.825	 0.690	noir	0	0	 0.000
 270.515	 0.669	pseudocomplex	1	0	 2147483.647
 271.184	 0.889	ISI	0	0	 0.000
 272.073	 0.335	croix	0	0	 0.000
 272.408	 0.688	noir	0	0	 0.000
 273.096	 0.669	pseudocomplex	1	0	 2147483.647
 273.765	 1.224	ISI	0	0	 0.000
 274.989	 0.335	croix	0	0	 0.000
 275.324	 0.689	noir	0	0	 0.000
 276.013	 0.688	pseudocomplex	1	0	 2147483.647
 276.701	 0.736	ISI	0	0	 0.000
 277.437	 0.335	croix	0	0	 0.000
 277.772	 0.688	noir	0	0	 0.000
 278.460	 0.689	H	0	0	 0.000
 279.149	 0.535	ISI	0	0	 0.000
 279.684	 0.335	croix	0	0	 0.000
 280.019	 0.689	noir	0	0	 0.000
 280.708	 0.669	complex	1	0	 2147483.647
 281.377	 0.622	ISI	0	0	 0.000
 281.999	 0.334	croix	0	0	 0.000
 282.333	 0.689	noir	0	0	 0.000
 283.022	 0.669	pseudocomplex	1	0	 2147483.647
 283.691	 0.756	ISI	0	0	 0.000
 284.447	 0.334	croix	0	0	 0.000
 284.781	 0.689	noir	0	0	 0.000
 285.470	 0.669	complex	1	0	 2147483.647
 286.139	 0.756	ISI	0	0	 0.000
 286.895	 0.334	croix	0	0	 0.000
 287.229	 0.690	noir	0	0	 0.000
 287.919	 0.669	H	0	0	 0.000
 288.588	 0.622	ISI	0	0	 0.000
 289.210	 0.334	croix	0	0	 0.000
 289.544	 0.689	noir	0	0	 0.000
 290.233	 0.669	complex	1	0	 2147483.647
 290.902	 0.756	ISI	0	0	 0.000
 291.658	 0.334	croix	0	0	 0.000
 291.992	 0.689	noir	0	0	 0.000
 292.681	 0.669	H	0	0	 0.000
 293.350	 0.689	ISI	0	0	 0.000
 294.039	 0.334	croix	0	0	 0.000
 294.373	 0.689	noir	0	0	 0.000
 295.062	 0.669	complex	1	0	 2147483.647
 295.731	 0.622	ISI	0	0	 0.000
 296.353	 0.334	croix	0	0	 0.000
 296.687	 0.669	noir	0	0	 0.000
 297.356	 0.689	complex	1	0	 2147483.647
 298.045	 0.535	ISI	0	0	 0.000
 298.580	 0.355	croix	0	0	 0.000
 298.935	 0.669	noir	0	0	 0.000
 299.604	 0.688	pseudocomplex	1	0	 2147483.647
 300.292	 0.736	ISI	0	0	 0.000
 301.028	 0.355	croix	0	0	 0.000
 301.383	 0.668	noir	0	0	 0.000
 302.051	 0.689	H	0	0	 0.000
 302.740	 0.669	ISI	0	0	 0.000
 303.409	 0.355	croix	0	0	 0.000
 303.764	 0.669	noir	0	0	 0.000
 304.433	 0.689	complex	1	0	 2147483.647
 305.122	 0.669	ISI	0	0	 0.000
 305.791	 0.355	croix	0	0	 0.000
 306.146	 0.669	noir	0	0	 0.000
 306.815	 0.689	H	0	0	 0.000
 307.504	 0.735	ISI	0	0	 0.000
 308.239	 0.355	croix	0	0	 0.000
 308.594	 0.669	noir	0	0	 0.000
 309.263	 0.688	complex	1	0	 2147483.647
 309.951	 0.602	ISI	0	0	 0.000
 310.553	 0.355	croix	0	0	 0.000
 310.908	 0.669	noir	0	0	 0.000
 311.577	 0.689	complex	1	0	 2147483.647
 312.266	 0.535	ISI	0	0	 0.000
 312.801	 0.334	croix	0	0	 0.000
 313.135	 0.689	noir	0	0	 0.000
 313.824	 0.669	H	0	0	 0.000
 314.493	 0.555	ISI	0	0	 0.000
