onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 4.074	Filler	0	0	 0.000
 4.074	 0.669	ISI	0	0	 0.000
 4.743	 0.354	Croix	0	0	 0.000
 5.097	 0.669	Noir	0	0	 0.000
 5.766	 0.689	pseudocomplex	1	0	 2147483.647
 6.455	 0.735	ISI	0	0	 0.000
 7.190	 0.355	croix	0	0	 0.000
 7.545	 0.669	Noir	0	0	 0.000
 8.214	 0.689	H	0	0	 0.000
 8.903	 0.602	ISI	0	0	 0.000
 9.505	 0.354	croix	0	0	 0.000
 9.859	 0.669	Noir	0	0	 0.000
 10.528	 0.689	complex	1	0	 2147483.647
 11.217	 0.602	ISI	0	0	 0.000
 11.819	 0.334	croix	0	0	 0.000
 12.153	 0.689	Noir	0	0	 0.000
 12.842	 0.689	complex	1	0	 2147483.647
 13.531	 0.870	ISI	0	0	 0.000
 14.401	 0.354	croix	0	0	 0.000
 14.755	 0.669	Noir	0	0	 0.000
 15.424	 0.689	complex	1	0	 2147483.647
 16.113	 0.735	ISI	0	0	 0.000
 16.848	 0.355	croix	0	0	 0.000
 17.203	 0.669	Noir	0	0	 0.000
 17.872	 0.689	H	0	0	 0.000
 18.561	 0.602	ISI	0	0	 0.000
 19.163	 0.334	croix	0	0	 0.000
 19.497	 0.690	Noir	0	0	 0.000
 20.187	 0.689	pseudocomplex	1	0	 2147483.647
 20.876	 0.602	ISI	0	0	 0.000
 21.478	 0.334	croix	0	0	 0.000
 21.812	 0.689	Noir	0	0	 0.000
 22.501	 0.669	complex	1	0	 2147483.647
 23.170	 0.555	ISI	0	0	 0.000
 23.725	 0.335	croix	0	0	 0.000
 24.060	 0.689	Noir	0	0	 0.000
 24.749	 0.668	H	0	0	 0.000
 25.417	 0.622	ISI	0	0	 0.000
 26.039	 0.335	croix	0	0	 0.000
 26.374	 0.689	Noir	0	0	 0.000
 27.063	 0.669	complex	1	0	 2147483.647
 27.732	 0.755	ISI	0	0	 0.000
 28.487	 0.335	croix	0	0	 0.000
 28.822	 0.689	Noir	0	0	 0.000
 29.511	 0.668	pseudocomplex	1	0	 2147483.647
 30.179	 0.957	ISI	0	0	 0.000
 31.136	 0.334	croix	0	0	 0.000
 31.470	 0.689	Noir	0	0	 0.000
 32.159	 0.669	pseudocomplex	1	0	 2147483.647
 32.828	 0.756	ISI	0	0	 0.000
 33.584	 0.334	croix	0	0	 0.000
 33.918	 0.689	Noir	0	0	 0.000
 34.607	 0.669	complex	1	0	 2147483.647
 35.276	 0.555	ISI	0	0	 0.000
 35.831	 0.335	croix	0	0	 0.000
 36.166	 0.689	Noir	0	0	 0.000
 36.855	 0.669	H	0	0	 0.000
 37.524	 0.756	ISI	0	0	 0.000
 38.280	 0.335	croix	0	0	 0.000
 38.615	 0.689	Noir	0	0	 0.000
 39.304	 0.668	complex	1	0	 2147483.647
 39.972	 0.823	ISI	0	0	 0.000
 40.795	 0.334	croix	0	0	 0.000
 41.129	 0.689	Noir	0	0	 0.000
 41.818	 0.669	pseudocomplex	1	0	 2147483.647
 42.487	 0.555	ISI	0	0	 0.000
 43.042	 0.335	croix	0	0	 0.000
 43.377	 0.689	Noir	0	0	 0.000
 44.066	 0.668	H	0	0	 0.000
 44.734	 0.689	ISI	0	0	 0.000
 45.423	 0.335	croix	0	0	 0.000
 45.758	 0.669	Noir	0	0	 0.000
 46.427	 0.689	pseudocomplex	1	0	 2147483.647
 47.116	 0.535	ISI	0	0	 0.000
 47.651	 0.354	croix	0	0	 0.000
 48.005	 0.669	Noir	0	0	 0.000
 48.674	 0.689	complex	1	0	 2147483.647
 49.363	 0.602	ISI	0	0	 0.000
 49.965	 0.354	croix	0	0	 0.000
 50.319	 0.669	Noir	0	0	 0.000
 50.988	 0.689	complex	1	0	 2147483.647
 51.677	 0.602	ISI	0	0	 0.000
 52.279	 0.355	croix	0	0	 0.000
 52.634	 0.668	Noir	0	0	 0.000
 53.302	 0.689	pseudocomplex	1	0	 2147483.647
 53.991	 0.602	ISI	0	0	 0.000
 54.593	 0.335	croix	0	0	 0.000
 54.928	 0.689	Noir	0	0	 0.000
 55.617	 0.689	complex	1	0	 2147483.647
 56.306	 0.535	ISI	0	0	 0.000
 56.841	 0.335	croix	0	0	 0.000
 57.176	 0.689	Noir	0	0	 0.000
 57.865	 0.669	H	0	0	 0.000
 58.534	 0.755	ISI	0	0	 0.000
 59.289	 0.335	croix	0	0	 0.000
 59.624	 0.689	Noir	0	0	 0.000
 60.313	 0.669	complex	1	0	 2147483.647
 60.982	 0.622	ISI	0	0	 0.000
 61.604	 0.334	croix	0	0	 0.000
 61.938	 0.689	Noir	0	0	 0.000
 62.627	 0.669	H	0	0	 0.000
 63.296	 0.689	ISI	0	0	 0.000
 63.985	 0.334	croix	0	0	 0.000
 64.319	 0.689	Noir	0	0	 0.000
